epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.2709,1.42232,3.45528,1.66097,0.44506,0.13305,0.08538,0.04205,1.75021,4.33136,2.17428,0.000331512,0.000331512,0.0671803
2,154.8,1.54056,2.97812,1.75699,0.54378,0.1049,0.09636,0.05231,1.722,3.41907,2.19023,0.000658263,0.000658263,0.0341737
3,232.996,1.53526,2.98588,1.76697,0.35014,0.17939,0.11888,0.05325,1.859,3.08159,2.25052,0.000978415,0.000978415,0.00116056
4,310.528,1.52965,2.89638,1.75848,0.40364,0.18773,0.13687,0.06658,1.69611,3.03014,2.06381,0.0009703,0.0009703,0.0009703
5,386.863,1.51854,2.83599,1.72774,0.41414,0.19794,0.16366,0.08607,1.59223,2.78954,1.95043,0.0009604,0.0009604,0.0009604
6,463.803,1.47895,2.68624,1.70898,0.58132,0.176,0.15429,0.08712,1.60773,2.92131,1.98512,0.0009505,0.0009505,0.0009505
7,541.299,1.44822,2.65825,1.69089,0.54734,0.17833,0.17852,0.10196,1.60934,2.75635,1.97532,0.0009406,0.0009406,0.0009406
8,616.172,1.4075,2.56622,1.66738,0.57175,0.17136,0.20743,0.12383,1.53517,2.98792,1.9008,0.0009307,0.0009307,0.0009307
9,691.697,1.38585,2.48749,1.64823,0.71957,0.2056,0.24237,0.14049,1.60285,2.61942,1.93075,0.0009208,0.0009208,0.0009208
10,767.65,1.37445,2.48847,1.64813,0.5543,0.22763,0.26551,0.15998,1.54092,2.42918,1.91181,0.0009109,0.0009109,0.0009109
11,844.486,1.35982,2.37371,1.62136,0.32684,0.27722,0.24903,0.15223,1.5121,2.3943,1.87902,0.000901,0.000901,0.000901
12,920.35,1.35182,2.3118,1.62113,0.47324,0.22988,0.26477,0.15906,1.47918,2.37937,1.8399,0.0008911,0.0008911,0.0008911
13,995.497,1.31169,2.27122,1.58427,0.33728,0.28779,0.28745,0.17381,1.46153,2.28288,1.80329,0.0008812,0.0008812,0.0008812
14,1070.98,1.28891,2.191,1.56299,0.35736,0.33122,0.30895,0.18516,1.50899,2.2037,1.86193,0.0008713,0.0008713,0.0008713
15,1147.06,1.28773,2.1387,1.56278,0.38255,0.35003,0.35042,0.20791,1.43631,2.21866,1.79997,0.0008614,0.0008614,0.0008614
16,1223.58,1.26743,2.12323,1.55228,0.48109,0.32059,0.32814,0.20873,1.40418,2.19908,1.75952,0.0008515,0.0008515,0.0008515
17,1298.75,1.24728,2.07298,1.5355,0.58629,0.33784,0.35526,0.22059,1.41127,2.0785,1.76972,0.0008416,0.0008416,0.0008416
18,1375.43,1.2603,2.02772,1.52904,0.46758,0.30726,0.3341,0.20968,1.39689,2.07574,1.73433,0.0008317,0.0008317,0.0008317
19,1448.29,1.26123,2.02576,1.53452,0.36775,0.39328,0.35537,0.2157,1.35927,2.05818,1.72896,0.0008218,0.0008218,0.0008218
20,1522.95,1.21429,1.9098,1.49105,0.53019,0.3358,0.38088,0.23777,1.36218,2.00294,1.70598,0.0008119,0.0008119,0.0008119
21,1599.15,1.22793,1.94477,1.5148,0.46132,0.39116,0.35959,0.21991,1.37259,2.05236,1.74258,0.000802,0.000802,0.000802
22,1674.6,1.21494,1.94002,1.49769,0.54053,0.35054,0.37214,0.23717,1.34971,1.96812,1.70579,0.0007921,0.0007921,0.0007921
23,1749.73,1.20797,1.88246,1.50001,0.45026,0.40771,0.38847,0.23486,1.37719,2.02503,1.71432,0.0007822,0.0007822,0.0007822
24,1824.13,1.18603,1.83287,1.48718,0.45702,0.36623,0.37216,0.23608,1.35806,1.99067,1.7164,0.0007723,0.0007723,0.0007723
25,1898.33,1.19136,1.81732,1.47141,0.45931,0.41149,0.40522,0.2598,1.29798,1.84302,1.6483,0.0007624,0.0007624,0.0007624
26,1974.06,1.15094,1.73695,1.46351,0.39693,0.46833,0.41277,0.25931,1.35182,1.90738,1.70863,0.0007525,0.0007525,0.0007525
27,2048.77,1.19865,1.72648,1.48198,0.58277,0.3583,0.39281,0.25375,1.33909,1.83393,1.68644,0.0007426,0.0007426,0.0007426
28,2122.99,1.1799,1.72021,1.46916,0.53594,0.40693,0.43928,0.27543,1.32577,1.83164,1.68416,0.0007327,0.0007327,0.0007327
29,2200.47,1.15451,1.6994,1.45363,0.5573,0.39103,0.42364,0.26915,1.33707,1.87518,1.69567,0.0007228,0.0007228,0.0007228
30,2276.49,1.13112,1.69554,1.43486,0.5255,0.42849,0.43691,0.2788,1.32057,1.7917,1.66871,0.0007129,0.0007129,0.0007129
31,2353.9,1.13942,1.66238,1.44563,0.53285,0.42589,0.44173,0.29051,1.29368,1.77633,1.64559,0.000703,0.000703,0.000703
32,2429.3,1.1378,1.66092,1.43367,0.41282,0.49749,0.4335,0.26602,1.32289,1.83224,1.68247,0.0006931,0.0006931,0.0006931
33,2503.01,1.1391,1.62326,1.44408,0.44113,0.46383,0.43327,0.27949,1.29802,1.77131,1.64876,0.0006832,0.0006832,0.0006832
34,2577.73,1.11357,1.58821,1.42535,0.49841,0.46308,0.45599,0.29044,1.28591,1.74536,1.63723,0.0006733,0.0006733,0.0006733
35,2653.02,1.11917,1.56935,1.4251,0.45686,0.50722,0.4709,0.28839,1.30062,1.78921,1.68319,0.0006634,0.0006634,0.0006634
36,2728.28,1.10664,1.53548,1.41688,0.5501,0.41702,0.45219,0.29267,1.26963,1.72009,1.6115,0.0006535,0.0006535,0.0006535
37,2805.91,1.09452,1.50631,1.40012,0.56396,0.46352,0.48008,0.31159,1.29328,1.67954,1.65835,0.0006436,0.0006436,0.0006436
38,2882.78,1.11648,1.52856,1.42425,0.53437,0.48413,0.46879,0.31204,1.24011,1.67468,1.59898,0.0006337,0.0006337,0.0006337
39,2959.64,1.07349,1.48245,1.3901,0.48237,0.45606,0.459,0.30647,1.26587,1.66331,1.62742,0.0006238,0.0006238,0.0006238
40,3035.06,1.08961,1.46622,1.39628,0.58804,0.45425,0.48084,0.3125,1.25549,1.66512,1.60238,0.0006139,0.0006139,0.0006139
41,3111.32,1.07805,1.46529,1.39756,0.59407,0.48355,0.50561,0.32961,1.26198,1.66442,1.64054,0.000604,0.000604,0.000604
42,3188.85,1.04907,1.37126,1.3631,0.69475,0.4378,0.49006,0.32279,1.25057,1.6525,1.60349,0.0005941,0.0005941,0.0005941
43,3264.24,1.06051,1.42505,1.38847,0.56737,0.46382,0.48605,0.31293,1.27661,1.64494,1.63677,0.0005842,0.0005842,0.0005842
44,3339.47,1.0474,1.36966,1.3576,0.64394,0.42986,0.49843,0.32458,1.24717,1.61601,1.6323,0.0005743,0.0005743,0.0005743
45,3414.49,1.05356,1.35722,1.37208,0.62711,0.45673,0.50283,0.33367,1.25573,1.61376,1.61831,0.0005644,0.0005644,0.0005644
46,3491.53,1.04683,1.3664,1.36325,0.65271,0.43898,0.51472,0.33516,1.24036,1.61364,1.60798,0.0005545,0.0005545,0.0005545
47,3567.61,1.03621,1.34101,1.36308,0.65511,0.45061,0.50286,0.33104,1.27421,1.62798,1.63229,0.0005446,0.0005446,0.0005446
48,3642.87,1.01999,1.31219,1.34738,0.66121,0.47371,0.51695,0.34089,1.23982,1.56569,1.59462,0.0005347,0.0005347,0.0005347
49,3718.61,1.01078,1.2623,1.32928,0.61675,0.45107,0.51815,0.34916,1.21793,1.58179,1.58924,0.0005248,0.0005248,0.0005248
50,3795.01,1.02364,1.28091,1.33936,0.64492,0.44207,0.5047,0.33007,1.25334,1.57388,1.61714,0.0005149,0.0005149,0.0005149
51,3868.8,1.00305,1.25486,1.33776,0.63345,0.48106,0.53082,0.33945,1.27368,1.56835,1.63745,0.000505,0.000505,0.000505
52,3944.34,1.0058,1.24424,1.33241,0.64962,0.47119,0.51713,0.33485,1.26668,1.55967,1.62874,0.0004951,0.0004951,0.0004951
53,4019.85,0.9891,1.24802,1.3225,0.60835,0.49117,0.50871,0.32996,1.24278,1.54209,1.60318,0.0004852,0.0004852,0.0004852
54,4095.62,1.00412,1.22296,1.3297,0.62785,0.48986,0.54634,0.36341,1.24295,1.55895,1.60559,0.0004753,0.0004753,0.0004753
55,4171.18,1.00821,1.21453,1.33422,0.67254,0.44115,0.50998,0.34004,1.24743,1.54895,1.61788,0.0004654,0.0004654,0.0004654
